,fips,TOT_POP,0-9,0-9 y/o % of total pop,19-Oct,10-19 y/o % of total pop,20-29,20-29 y/o % of total pop,30-39,30-39 y/o % of total pop,40-49,40-49 y/o % of total pop,50-59,50-59 y/o % of total pop,60-69,60-69 y/o % of total pop,70-79,70-79 y/o % of total pop,80+,80+ y/o % of total pop,White-alone pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,diabetes_number,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code
2231,41051,811880,86842,10.69640834,82309,10.13807459,122536,15.09287087,149598,18.42612209,119605,14.73185692,96248,11.85495393,86127,10.60834113,45649,5.62262896,22966,2.828743164,641527,79.01746564,49354,6.078977189,11716,1.443070404,65911,8.118317978,5545,0.682982707,37827,4.659186087,811880,3099,19036,10.9,7.4,3.5,4.1,-3.7,0.4,50422,100172,170634,257958,8.7,17.3,29.5,44.5,95543,12.0,14.4,13.4,70756,69155,72357,456886,440043,16843,3.7,70756,112.0,303.4,271.5,109.4,101.0,9.2,8.3,407.033333,224.3429793,11.81772171,497.7004438,383.2041564,1193.783626,165,788459,143926,18.3,41,51,658979,34.1,32.4,35.9,224913,26.1,24.9,27.4,171994,5.7,5.2,6.3,5.8,4.8,6.8,38276,9.1,8.5,9.9,60296,2.6,2.4,2.7,16883,1
1595,29510,302838,34698,11.457611,29933,9.88416249,53269,17.58993257,50603,16.70959391,34726,11.46685687,38255,12.63216637,34971,11.54775821,16466,5.437230466,9917,3.274688117,144301,47.64956842,139095,45.93049749,935,0.30874593,10652,3.517392137,146,0.048210594,7709,2.545585429,302838,-5028,11551,13.3,10.6,2.7,2.8,-21.9,-19.2,28768,51909,62051,76966,13.1,23.6,28.2,35.0,66858,22.8,38.4,37.7,43263,41328,45198,153678,147800,5878,3.8,43263,79.5,273.1,236.3,86.6,79.0,7.0,6.3,168.9064806,32.87176167,6.030608907,188.3823815,135.2438194,537.0702113,207,314867,57543,18.3,29,510,245312,48.1,46.4,49.9,118019,37.8,36.5,39.0,92728,6.9,6.4,7.5,8.0,7.0,9.1,19608,13.4,12.6,14.3,32940,3.3,3.1,3.5,8129,1
332,12031,950181,124557,13.10876559,111623,11.74755126,144762,15.23520256,140516,14.78834033,113954,11.99287294,123767,13.02562354,103802,10.92444492,57898,6.093365369,29302,3.083833501,577732,60.8023103,290505,30.5736486,4301,0.4526506,48120,5.064298276,1158,0.121871517,28365,2.985220711,950181,12539,20814,13.8,9.2,4.6,4.4,4.2,8.6,65724,175335,204368,183280,10.5,27.9,32.5,29.2,134476,14.5,21.8,19.7,55733,53894,57572,487844,470411,17433,3.6,55733,100.5,265.2,240.7,86.8,80.1,6.9,6.0,551.3901102,271.8139111,9.680554525,517.2628097,369.3778408,1298.309578,412,912043,171837,18.8,12,31,735505,47.0,45.4,48.6,345486,33.9,32.8,35.0,249336,7.1,6.6,7.7,8.1,7.2,9.1,59738,13.4,12.6,14.1,98334,3.1,2.9,3.2,22635,1
2936,51710,244076,29491,12.08271194,27344,11.2030679,61034,25.00614563,36398,14.91256822,23568,9.656008784,26154,10.71551484,22400,9.177469313,11228,4.600206493,6459,2.646306888,120025,49.17525689,103358,42.34664613,1581,0.647749062,9410,3.855356528,563,0.230665858,9139,3.744325538,244076,-846,34020,13.9,8.6,5.3,2.0,-10.7,-8.7,18818,39004,51966,42709,12.3,25.6,34.1,28.0,41471,19.7,28.2,27.7,48519,46243,50795,111524,107496,4028,3.6,48519,66.8,263.2,231.8,90.3,81.7,7.3,6.3,128.3180028,60.23323849,2.75089957,121.727306,106.8552552,336.7559556,113,245752,36773,15.0,51,710,196291,43.0,41.4,44.6,84470,36.3,35.1,37.4,71254,5.8,5.4,6.2,6.4,5.7,7.1,12529,10.8,10.2,11.4,21283,2.8,2.7,2.9,5487,1
1866,36081,2278906,268160,11.76704963,233715,10.25557877,317457,13.9302367,343015,15.05173974,302616,13.27900317,313052,13.7369422,258448,11.34088023,147978,6.493378841,94465,4.145190719,1092235,47.92804091,471907,20.70761146,30186,1.324582936,611274,26.82313356,5285,0.231909522,68019,2.984721616,2278906,-17959,27770,12.7,7.3,5.5,6.0,-19.4,-13.4,303881,454105,369271,518999,18.5,27.6,22.4,31.5,261819,11.6,15.2,14.7,68432,67082,69782,1162225,1120459,41766,3.6,68432,101.2,375.1,304.1,112.9,94.8,10.2,7.4,1470.626149,1037.053235,19.35801608,2416.253573,755.6623143,5703.38464,129,2339280,470619,20.1,36,81,1820449,36.3,35.1,37.5,661141,25.3,24.6,26.0,460574,6.2,5.8,6.6,6.1,5.4,6.7,110259,13.3,12.7,14.0,242663,3.0,2.9,3.2,54827,1
202,6037,10105518,1208253,11.95636879,1239139,12.26200379,1557073,15.40814632,1501844,14.86162313,1350076,13.35979017,1306003,12.9236621,1014325,10.03733802,572530,5.665518581,356275,3.525549111,7151444,70.76771324,906467,8.970020141,145254,1.437373126,1551894,15.35689709,37200,0.368115717,313259,3.099880679,10105518,-13241,178334,11.8,6.8,5.0,3.5,-9.8,-6.3,1460718,1416482,1790808,2177481,21.3,20.7,26.2,31.8,1409155,14.2,19.9,19.5,67986,67293,68679,5136341,4896512,239829,4.7,67986,90.3,279.6,243.8,96.2,87.1,7.2,6.2,3937.767709,2022.531916,91.71263834,5713.007608,3882.586846,15014.04866,2126,10105722,1800341,17.8,6,37,7916625,36.3,35.0,37.7,2877316,26.5,25.6,27.3,2097906,5.5,5.1,5.9,5.5,4.8,6.1,434075,12.0,11.4,12.7,952335,3.0,2.9,3.2,237766,1
369,12103,975280,85014,8.716881306,89447,9.171417439,109203,11.19709212,112113,11.49546797,112586,11.54396686,148023,15.17748749,146525,15.02389058,105118,10.77823804,67251,6.895558199,805704,82.61258305,107793,11.05251825,3779,0.387478468,35030,3.591789025,1138,0.116684439,21836,2.238946764,975280,5975,19849,8.5,13.0,-4.6,3.6,7.1,10.7,65119,207182,233441,226810,8.9,28.3,31.9,31.0,112593,11.7,16.2,14.4,52226,50929,53523,492704,476541,16163,3.3,52226,94.2,265.2,240.7,86.8,80.1,6.9,6.0,565.955062,278.9938667,9.936266055,530.9262899,379.1349444,1332.604383,279,949842,293786,30.9,12,103,817608,42.8,40.8,44.8,350213,30.7,29.5,32.0,251006,9.3,8.4,10.3,9.3,7.9,10.8,76252,12.5,11.4,13.5,101883,3.5,3.3,3.8,28809,1
1791,34039,558067,71473,12.80724357,72362,12.96654344,69298,12.41750542,74965,13.43297489,76947,13.78812938,79326,14.21442228,59069,10.58457139,33165,5.942834821,21462,3.84577479,377260,67.60120201,132122,23.67493509,4272,0.765499483,31722,5.684263717,658,0.11790699,12033,2.156192715,558067,2794,6560,11.8,7.7,4.2,7.0,-6.2,0.8,51661,107744,84165,131578,13.8,28.7,22.4,35.1,43279,7.8,10.7,10.1,80737,77280,84194,272683,260935,11748,4.3,80737,98.7,306.5,271.0,97.7,87.5,7.6,6.7,345.6079842,116.6434777,5.136823401,442.8944078,169.6404606,981.5091346,80,557320,106249,19.1,34,39,427545,36.1,34.6,37.5,154212,27.9,26.8,28.9,119285,6.1,5.7,6.6,5.9,5.2,6.7,25297,11.6,10.9,12.2,49477,3.0,2.8,3.1,12751,1
221,6075,883305,72007,8.151997328,60660,6.867390086,151437,17.14436123,183382,20.76089233,120821,13.67828779,107395,12.15831451,93694,10.60720816,54600,6.181330345,39309,4.450218215,467444,52.91988611,49184,5.568178602,6570,0.743797443,317204,35.91103866,4015,0.454542882,38888,4.402556308,883305,4139,24235,10.2,7.5,2.6,7.2,-5.1,2.1,79408,84630,131509,394004,11.5,12.3,19.1,57.1,87596,10.1,10.9,11.1,110601,107200,114002,575567,562022,13545,2.4,110601,147.0,279.6,243.8,96.2,87.1,7.2,6.2,344.1931335,176.7858465,8.016435378,499.3636333,339.3698743,1312.350762,337,864263,179193,20.7,6,75,764613,23.9,22.6,25.1,182564,16.8,16.0,17.5,128455,4.6,4.2,5.0,3.8,3.2,4.3,28886,8.8,8.2,9.4,67258,2.3,2.2,2.5,17872,1
2058,39035,1243857,140992,11.33506504,146396,11.76952013,172576,13.87426368,158559,12.74736565,142004,11.41642488,169617,13.6363746,159927,12.85734614,92019,7.397876122,61767,4.965763749,791110,63.60136254,378974,30.46765022,3304,0.265625389,41763,3.357540296,543,0.043654536,28163,2.264167022,1243857,-4514,29963,11.5,11.0,0.5,3.1,-7.2,-4.1,93264,245164,257850,279259,10.7,28.0,29.5,31.9,217166,17.9,26.6,25.7,50006,49057,50955,612216,580166,32050,5.2,50006,89.1,292.7,248.6,93.7,83.7,8.3,7.1,642.6014538,237.9295994,20.64326578,841.2662847,575.2448185,2424.200417,680,1257401,297844,23.7,39,35,985975,45.2,43.5,46.8,445409,34.9,33.8,36.0,344105,8.1,7.4,8.8,8.7,7.6,10.0,86130,13.3,12.4,14.1,130681,3.5,3.3,3.7,34175,1
217,6067,1540975,199957,12.97600545,198773,12.89917098,220523,14.31061503,228253,14.81224549,192362,12.48313568,194261,12.60636934,162670,10.55630364,91664,5.948441733,52512,3.407712649,970616,62.98713477,167528,10.87155859,23734,1.540193709,260762,16.92188387,19726,1.280098639,98609,6.399130421,1540975,13257,22158,12.6,7.8,4.8,2.8,1.1,3.9,127852,225825,350480,308126,12.6,22.3,34.6,30.4,217138,14.3,20.5,20.6,69475,67976,70974,710442,683494,26948,3.8,69475,92.3,279.6,243.8,96.2,87.1,7.2,6.2,600.4641815,308.4128017,13.9851201,871.1678015,592.049736,2289.46934,396,1495400,279005,18.7,6,67,1177066,37.0,35.7,38.3,435403,28.3,27.4,29.1,333110,5.8,5.3,6.2,6.0,5.3,6.8,70125,10.5,9.9,11.1,123474,2.9,2.8,3.1,34526,1
2577,48113,2637772,386756,14.66222251,370861,14.05963063,411693,15.60760369,399106,15.13042067,339877,12.88500295,314560,11.92521567,232267,8.805423668,120425,4.565405956,62227,2.359074249,1758250,66.65663295,619411,23.48235556,28609,1.08458957,177748,6.738565729,2945,0.111647254,50809,1.926208937,2637772,14973,32325,15.2,6.5,8.8,5.5,-8.5,-3.1,351441,372587,418128,506554,21.3,22.6,25.4,30.7,368310,14.2,20.7,20.4,59838,58824,60852,1359225,1308543,50682,3.7,59838,98.7,224.8,199.9,72.9,66.5,6.2,5.4,909.834988,536.9864479,48.06502007,998.061411,883.367061,3115.31176,614,2552213,377154,14.8,48,113,1948080,42.1,40.6,43.5,820238,35.7,34.6,36.6,695465,6.3,5.9,6.8,6.3,5.5,7.0,122040,11.6,10.9,12.3,226524,3.1,2.9,3.2,59528,1
2967,53033,2233163,257888,11.54810464,242988,10.88088957,339482,15.20184599,383393,17.16816014,308318,13.80633657,279876,12.53271705,227746,10.1983599,123656,5.53725814,69816,3.126327993,1493773,66.89045985,154663,6.925737172,22370,1.001718191,429012,19.21095773,18924,0.847407914,114421,5.123719137,2233163,28934,38771,11.8,6.2,5.6,9.7,-2.2,7.5,108078,234136,404452,790809,7.0,15.2,26.3,51.4,202628,9.2,10.8,10.0,94822,93048,96596,1258687,1215220,43467,3.5,94822,128.1,278.8,246.3,100.6,91.7,6.9,6.1,900.0111645,565.4334217,27.26408533,1110.715128,1308.972444,3294.509093,450,2118119,386511,18.2,53,33,1780304,30.5,29.1,32.0,543692,23.2,22.3,24.1,413031,4.7,4.3,5.2,4.1,3.4,4.8,72426,8.5,7.9,9.1,151431,2.4,2.2,2.5,41889,1
360,12086,2761581,310791,11.25409684,311496,11.27962569,365566,13.23756211,384271,13.91489151,394089,14.27041249,389885,14.11818085,290745,10.5282083,189981,6.879428849,124757,4.517593364,2177101,78.83531209,495637,17.94758148,7707,0.279079267,45768,1.657311518,1288,0.04663995,34080,1.234075698,2761581,16703,42228,11.4,7.9,3.4,21.3,-18.8,2.6,355875,533542,479454,553997,18.5,27.7,24.9,28.8,436103,16.0,22.6,21.9,52043,51208,52878,1383302,1330023,53279,3.9,52043,93.9,265.2,240.7,86.8,80.1,6.9,6.0,1602.545675,789.992783,28.13530837,1503.358989,1073.550015,3773.372717,593,2702602,563748,20.9,12,86,2203331,38.2,36.4,39.9,841621,29.6,28.4,30.9,652186,7.7,7.1,8.4,6.7,5.9,7.6,148237,14.2,13.1,15.1,312317,3.7,3.5,4.0,81776,1
1338,27053,1259428,157791,12.52878291,147764,11.73262783,186608,14.81688513,201383,15.99003675,152590,12.11581766,160520,12.74546858,137040,10.88113016,71482,5.675751214,44250,3.513499779,937036,74.40171252,171910,13.64984739,14012,1.112568563,95073,7.548903153,718,0.057010008,40679,3.229958362,1259428,11182,25918,13.0,7.0,6.0,3.4,-0.5,2.9,57992,142555,233467,420664,6.8,16.7,27.3,49.2,127826,10.3,11.6,11.2,76067,74737,77397,703310,685853,17457,2.5,76067,108.2,302.7,265.0,104.9,96.0,7.4,6.6,646.4154218,406.7030362,28.5051245,721.6061045,786.9209961,2106.012466,311,1224763,229263,18.7,27,53,982887,30.3,28.7,31.9,298137,24.2,23.1,25.2,237859,4.7,4.3,5.3,4.0,3.3,4.8,39240,7.9,7.2,8.5,77193,2.4,2.3,2.6,23660,1
1310,26163,1753893,228303,13.01692863,226614,12.92062857,250295,14.27082496,215490,12.28638235,214877,12.25143153,233944,13.338556,204804,11.67710915,112921,6.4383061,66645,3.799832715,958219,54.63383456,680275,38.78657364,8414,0.4797328,61660,3.515607851,352,0.020069639,44973,2.564181509,1753893,-2371,22715,12.8,10.5,2.2,2.3,-5.9,-3.6,166003,353763,383495,275102,14.1,30.0,32.5,23.3,376649,21.7,32.4,31.3,46440,45555,47325,794466,752926,41540,5.2,46440,82.0,287.0,249.7,97.8,87.6,7.9,6.7,775.5375131,663.7688715,25.26638052,1301.043136,1056.801457,3562.384192,586,1763822,362535,20.6,26,163,1339672,47.6,46.0,49.0,637505,34.9,33.9,35.8,467546,8.2,7.6,8.8,9.8,8.7,11.0,131673,13.6,12.8,14.4,182534,3.7,3.5,3.9,49830,1
1227,25025,807252,78002,9.662658005,89126,11.04066636,181073,22.43078989,144056,17.84523296,89889,11.13518455,88597,10.9751354,71822,8.897097808,39802,4.930554523,24885,3.082680501,496569,61.51350508,199131,24.66776174,5947,0.736696843,74720,9.256093512,1435,0.177763573,29450,3.648179255,807252,5797,50684,11.6,6.6,5.0,15.9,-13.7,2.2,79176,122750,100097,244827,14.5,22.4,18.3,44.8,133144,17.5,24.1,24.4,68743,66071,71415,456319,442599,13720,3.0,68743,86.1,449.5,353.7,134.3,114.6,9.6,7.3,732.6162515,253.3280333,8.771746307,1075.182184,230.5214929,2423.575026,447,780685,125537,16.1,25,25,673163,29.0,27.7,30.2,195128,22.2,21.4,23.1,149442,5.0,4.6,5.3,5.0,4.4,5.7,33452,8.7,8.2,9.1,58311,2.6,2.5,2.8,17734,1
3085,55079,948201,128789,13.58245773,124876,13.16978151,145947,15.39198967,139301,14.69108343,110489,11.65248718,114079,12.03109889,100080,10.55472416,50584,5.33473388,34056,3.591643544,609795,64.31073159,257997,27.2091044,9220,0.972367673,44264,4.668208534,415,0.043767092,26510,2.795820717,948201,-2387,22853,13.9,8.7,5.2,3.1,-10.9,-7.7,76720,177153,183235,191885,12.2,28.2,29.1,30.5,177263,19.1,27.2,25.3,49771,48370,51172,472701,455544,17157,3.6,49771,81.9,264.9,238.3,94.6,86.4,7.9,7.1,495.9913157,300.1065507,21.69248437,497.7854309,534.3201414,1500.04345,381,956586,173173,18.1,55,79,720779,42.3,40.9,43.8,305086,35.9,34.7,37.0,258760,6.4,5.9,7.0,6.6,5.8,7.5,47780,11.0,10.3,11.7,79326,3.2,3.0,3.3,22862,1
307,9003,892697,98354,11.01762412,112199,12.56854229,116495,13.04978061,117045,13.11139166,109541,12.27079289,127517,14.28446606,105187,11.78305741,64171,7.188441319,42188,4.725903638,671681,75.24176736,139802,15.66063289,5043,0.564917324,52233,5.851145461,1100,0.123222101,22838,2.558314859,892697,-234,26012,10.3,9.3,1.0,6.1,-7.4,-1.3,65170,167539,154744,234993,10.5,26.9,24.9,37.8,96957,11.2,15.5,14.8,73037,70717,75357,480319,459939,20380,4.2,73037,95.6,352.1,302.9,105.7,93.7,8.6,7.1,807.0757572,404.7872219,7.995796975,971.7392011,195.6471572,2152.618467,216,897417,201242,22.4,9,3,705393,37.4,35.7,39.0,263554,28.8,27.7,29.8,203153,6.1,5.5,6.7,5.9,5.0,6.9,41736,10.3,9.6,11.0,72956,2.9,2.7,3.1,20145,1
1778,34013,799767,105567,13.19971942,102677,12.83836417,107348,13.42240928,110844,13.85953659,111706,13.96731798,107610,13.45516882,80622,10.080686,45132,5.643143566,28261,3.533654177,392000,49.01427541,335030,41.89095074,5956,0.744716899,46356,5.79618814,1066,0.13328882,19359,2.420579994,799767,3859,23476,12.8,8.2,4.6,7.1,-6.9,0.2,75835,149777,121387,185092,14.3,28.1,22.8,34.8,116246,14.9,21.0,20.0,62875,59935,65815,364346,345495,18851,5.2,62875,76.9,306.5,271.0,97.7,87.5,7.6,6.7,495.2915343,167.162015,7.361592498,634.7129142,243.1121035,1406.60282,267,800401,146732,18.3,34,13,610790,40.6,39.0,42.0,247681,30.2,29.1,31.3,184459,6.5,6.1,7.0,6.3,5.6,7.1,38345,13.0,12.2,13.8,79216,3.2,3.1,3.4,19711,1
2942,51760,228783,24724,10.806747,23470,10.25862936,47188,20.62565837,38562,16.85527334,23448,10.24901326,27371,11.96373856,24980,10.91864343,11812,5.162971025,7228,3.159325649,107247,46.87717182,109314,47.78064804,1229,0.537190263,5396,2.358566852,363,0.158665635,5234,2.287757395,228783,1815,12514,13.1,9.6,3.5,3.1,1.4,4.5,23142,34510,37325,59442,15.0,22.3,24.2,38.5,48424,22.3,34.5,34.6,48747,46825,50669,117259,113125,4134,3.5,48747,67.1,263.2,231.8,90.3,81.7,7.3,6.3,120.2780185,56.45922173,2.578537243,114.100273,100.160056,315.6559342,159,220892,39776,18.0,51,760,188719,40.4,38.7,42.2,76314,33.0,31.6,34.4,62277,6.4,5.9,6.9,7.1,6.2,8.1,13405,12.1,11.3,12.9,22833,3.2,3.0,3.4,6074,1
2292,42101,1584138,202485,12.78203035,186253,11.75737215,273330,17.25417861,251514,15.87702587,177859,11.22749407,186679,11.78426374,160784,10.1496208,89552,5.653042854,55682,3.514971549,709048,44.75923183,692593,43.72049657,13881,0.876249418,122911,7.758856867,2495,0.157498905,43210,2.727666403,1584138,3917,56535,13.3,9.9,3.4,6.3,-7.2,-0.9,170894,351167,237716,303976,16.1,33.0,22.3,28.6,372322,24.3,34.0,35.0,46149,44939,47359,709586,670264,39322,5.5,46149,75.8,320.5,273.3,100.8,88.2,8.7,7.2,866.2189772,701.2131061,24.61481886,1283.433972,891.0811812,3310.878675,528,1569657,287348,18.3,42,101,1240168,42.6,41.2,44.0,528786,32.0,31.0,33.0,396854,6.4,6.0,6.9,7.3,6.5,8.1,90589,13.2,12.5,14.0,164204,3.4,3.2,3.6,41864,1
1849,36047,2582830,351819,13.62145399,286911,11.1083966,402741,15.59301232,427166,16.53868044,319032,12.35203246,297377,11.51361104,255162,9.879163553,148202,5.737969591,94420,3.65568001,1278770,49.51042074,881296,34.12133203,23841,0.923057267,327010,12.66091845,2961,0.114641692,68952,2.669629825,2582830,-13555,35539,15.2,7.2,8.0,4.8,-18.0,-13.2,326469,455299,347052,648461,18.4,25.6,19.5,36.5,483632,18.9,26.0,25.9,60862,60018,61706,1211721,1160501,51220,4.2,60862,90.0,375.1,304.1,112.9,94.8,10.2,7.4,1666.754722,1175.358793,21.93967836,2738.494794,856.4404567,6464.01078,318,2635121,476741,18.1,36,47,1993855,34.3,33.1,35.6,684756,25.4,24.7,26.2,506439,6.3,5.9,6.7,6.6,5.9,7.4,131785,11.6,11.0,12.2,230414,3.2,3.0,3.4,63655,1
1528,29095,700307,92110,13.15280298,88182,12.59190612,99845,14.25731858,99685,14.23447145,82350,11.7591285,90455,12.91647806,77909,11.12497805,43858,6.262681938,25913,3.700234326,491222,70.14380836,166975,23.84311452,4215,0.60187889,13608,1.943147791,2120,0.302724377,22167,3.165326064,700307,2587,11067,13.2,9.6,3.6,1.1,-1.0,0.1,45492,133015,145567,144748,9.7,28.4,31.0,30.9,89787,13.0,19.0,17.7,55864,54440,57288,363146,349588,13558,3.7,55864,102.7,273.1,236.3,86.6,79.0,7.0,6.3,390.5929597,76.01531115,13.9456661,435.6306027,312.7487087,1241.964445,274,688554,136794,19.9,29,95,535328,44.0,42.2,45.6,235337,34.9,33.7,36.0,186829,6.7,6.2,7.4,7.8,6.7,8.9,41587,11.7,10.9,12.5,62470,3.0,2.8,3.2,16187,1
1979,37183,1092305,139666,12.78635546,152343,13.94692874,149519,13.68839289,162887,14.9122269,162787,14.90307194,142000,13.00003204,100756,9.224163581,55468,5.078068854,26879,2.460759586,743432,68.06084381,229229,20.98580525,8670,0.793734351,82383,7.542124224,921,0.084317109,27670,2.533175258,1092305,20419,21803,11.8,5.6,6.2,4.2,8.4,12.6,50481,107053,177117,360231,7.3,15.4,25.5,51.8,89819,8.4,10.4,9.7,80169,78072,82266,584548,564962,19586,3.4,80169,148.7,255.0,223.5,86.2,78.1,7.1,6.2,496.2048577,446.2372284,11.78184101,531.7607708,423.3047165,1575.716041,175,1023811,157546,15.4,37,183,830774,36.3,34.6,37.9,301261,27.5,26.4,28.7,228463,5.2,4.8,5.7,5.3,4.5,6.1,43640,9.1,8.5,9.8,75717,2.4,2.3,2.6,20205,1
2504,47157,935764,131010,14.00032487,125123,13.37121325,137668,14.71182905,126175,13.48363476,114570,12.24347164,117568,12.56385157,102137,10.91482468,53408,5.707421957,28105,3.003428215,384900,41.1321658,507131,54.19432677,3148,0.336409608,25337,2.707627137,698,0.074591457,14550,1.554879222,935764,-209,18241,13.7,8.9,4.7,1.4,-6.3,-5.0,72057,167979,180080,189720,11.8,27.5,29.5,31.1,198554,21.7,33.2,29.5,47924,45793,50055,442379,424005,18374,4.2,47924,91.5,253.1,225.8,85.1,77.8,8.1,7.4,794.4997824,164.7605673,15.89552453,495.8021433,343.6197737,1396.456385,277,937847,169553,18.1,47,157,703043,44.5,42.9,46.2,313134,33.9,32.7,35.2,238332,7.2,6.7,7.8,8.5,7.5,9.6,60056,14.6,13.6,15.5,102346,3.4,3.2,3.6,23966,1
101,4013,4410824,568892,12.89763545,600600,13.6165034,627348,14.22292071,606358,13.7470459,560407,12.70526777,536603,12.16559536,452097,10.24971751,301106,6.82652493,157413,3.568788961,3663379,83.05430006,275869,6.254364264,123814,2.807049204,202798,4.597735026,12814,0.290512612,132150,2.996038835,4410824,81244,65225,12.3,7.3,5.0,2.3,11.3,13.6,354513,634810,923098,899070,12.6,22.6,32.8,32.0,535183,12.3,18.2,17.0,65234,64449,66019,2229526,2137219,92307,4.1,65234,110.4,242.0,224.0,78.1,73.2,6.9,6.1,2092.969183,1193.170795,51.04802886,2044.996337,1653.833128,5700.773247,1004,4155501,808534,19.5,4,13,3358036,39.3,37.8,40.8,1319260,29.8,28.9,30.8,1000695,6.4,5.8,7.0,6.6,5.7,7.6,222293,9.6,8.9,10.2,321467,3.1,2.9,3.3,105112,1
